"period","value","country","var"
2015-07-01,119.812181148549,"Italy","world_demand"
2015-10-01,121.469186289981,"Italy","world_demand"
2016-01-01,122.066290594757,"Italy","world_demand"
2016-04-01,122.674081159761,"Italy","world_demand"
2016-07-01,123.991940254246,"Italy","world_demand"
2016-10-01,125.646638260181,"Italy","world_demand"
2017-01-01,127.4887718888,"Italy","world_demand"
2017-04-01,128.862915115059,"Italy","world_demand"
2017-07-01,130.458731026353,"Italy","world_demand"
2017-10-01,131.844118954921,"Italy","world_demand"
2018-01-01,132.827340090052,"Italy","world_demand"
2018-04-01,133.750740368516,"Italy","world_demand"
2018-07-01,134.638367876262,"Italy","world_demand"
2018-10-01,135.193252643886,"Italy","world_demand"
2019-01-01,136.855869818417,"Italy","world_demand"
2019-04-01,136.262046066389,"Italy","world_demand"
2019-07-01,136.920016123596,"Italy","world_demand"
2019-10-01,134.895370273874,"Italy","world_demand"
2020-01-01,131.674329021249,"Italy","world_demand"
2020-04-01,112.435462856348,"Italy","world_demand"
2020-07-01,126.391236503333,"Italy","world_demand"
2020-10-01,131.472326862777,"Italy","world_demand"
2021-01-01,134.051803987743,"Italy","world_demand"
2021-04-01,136.555769459978,"Italy","world_demand"
2021-07-01,137.528880546823,"Italy","world_demand"
2021-10-01,142.647341395606,"Italy","world_demand"
2022-01-01,145.28178590424,"Italy","world_demand"
2022-04-01,146.345577864702,"Italy","world_demand"
2022-07-01,149.333512941958,"Italy","world_demand"
2022-10-01,148.127836313929,"Italy","world_demand"
2023-01-01,147.472750267303,"Italy","world_demand"
2023-04-01,146.614601159661,"Italy","world_demand"
2023-07-01,144.735887853649,"Italy","world_demand"
2023-10-01,144.596165250273,"Italy","world_demand"
1980-01-01,27.1380104564576,"Spain","world_demand"
1980-04-01,26.6798562510657,"Spain","world_demand"
1980-07-01,26.3127135705665,"Spain","world_demand"
1980-10-01,26.2398427614152,"Spain","world_demand"
1981-01-01,26.5550721850154,"Spain","world_demand"
1981-04-01,26.6447675671334,"Spain","world_demand"
1981-07-01,27.1369122921126,"Spain","world_demand"
1981-10-01,27.2558596081106,"Spain","world_demand"
1982-01-01,27.4148217064002,"Spain","world_demand"
1982-04-01,27.0676287572352,"Spain","world_demand"
1982-07-01,26.6088284937857,"Spain","world_demand"
1982-10-01,25.7885544427878,"Spain","world_demand"
1983-01-01,25.8799664091665,"Spain","world_demand"
1983-04-01,26.3662998973755,"Spain","world_demand"
1983-07-01,26.7976102204395,"Spain","world_demand"
1983-10-01,27.4020092516102,"Spain","world_demand"
1984-01-01,28.0389105046291,"Spain","world_demand"
1984-04-01,28.4324035016719,"Spain","world_demand"
1984-07-01,28.8235502132896,"Spain","world_demand"
1984-10-01,29.0661566242359,"Spain","world_demand"
1985-01-01,29.4431062588127,"Spain","world_demand"
1985-04-01,29.250261460418,"Spain","world_demand"
1985-07-01,29.2745346147467,"Spain","world_demand"
1985-10-01,29.6124637083745,"Spain","world_demand"
1986-01-01,29.888361530334,"Spain","world_demand"
1986-04-01,30.6430754252644,"Spain","world_demand"
1986-07-01,31.1229267727964,"Spain","world_demand"
1986-10-01,31.0068463145102,"Spain","world_demand"
1987-01-01,31.4695932862734,"Spain","world_demand"
