"period","conso_d","conso_nd","conso_s","gdp","defgdp","inves","definves","loans_nfc","loans_hh","houseprice","hours","wage","longrate","pop","shortrate","riskrate","networth"
1984-01-01,248942.261163218,1299601.07483813,3708114.67605402,8034847,48.639,1154826,68.484,2067.152,1791.459,35.5547,70.13,31.071,11.9433333333333,149284.199997854,9.68666666666667,13.74,3.46
1983-10-01,239874.527708093,1296372.22734782,3691613.38555797,7880794,48.151,1053054,68.23,1996.223,1759.608,35.1314,68.813,30.718,11.6866666666667,148933.775994749,9.43,13.61,3.58
1983-07-01,228616.976956715,1280655.72012752,3653837.95075559,7719746,47.789,959692,67.966,1938.066,1697.873,34.6943,67.545,30.369,11.6266666666667,148536.686169476,9.46,13.53,3.59
1983-04-01,220147.394082224,1261540.69450932,3600997.4678585,7568456,47.286,903148,67.96,1897.393,1640.797,34.2318,66.221,30.206,10.5433333333333,148212.66684998,8.80333333333333,13.25,3.49
1983-01-01,205191.600713212,1246840.6239233,3552277.10246407,7400066,46.938,829672,68.162,1856.426,1590.371,33.7868,65.458,29.916,10.5633333333333,147528.430481227,8.65333333333333,13.83,3.09
1982-10-01,203140.677745743,1242820.99862167,3505877.06825972,7303817,46.586,801889,68.493,1807.588,1597.908,33.4339,65.063,29.615,10.6666666666667,147682.682569103,9.28666666666667,14.39,2.8
1982-07-01,194292.000857868,1230103.49581161,3452735.9570815,7300896,46.108,869067,68.229,1787.369,1563.669,33.2081,65.675,29.187,13.1166666666667,147173.564821204,11.0066666666667,16.25,2.28
1982-04-01,192721.354954903,1224930.40423596,3426483.94515805,7328912,45.463,877104,67.68,1749.65,1554.07,33.1841,66.147,28.739,13.93,146727.554998726,14.5133333333333,16.78,2.27
1982-01-01,192005.349928431,1227083.46033495,3407060.08678561,7295631,44.88,877772,67.024,1701.077,1530.208,33.1282,65.844,28.518,14.2933333333333,146121.22896702,14.2266666666667,17.03,2.26
1981-10-01,186063.020184547,1224945.41009297,3389404.15345659,7410768,44.271,969475,66.365,1658.457,1526.567,32.9816,66.97,27.79,14.0866666666667,145989.474314594,13.5866666666667,16.68,2.42
1981-07-01,200474.477319127,1220394.45064695,3381820.6038032,7492405,43.519,1004861,64.914,1619.465,1495.81,32.6055,67.263,27.341,14.8466666666667,145507.638155968,17.5766666666667,16.48,2.47
1981-04-01,194570.999942504,1217663.90524894,3380975.67666573,7403745,42.715,951246,64.11,1568.883,1465.475,32.294,67.302,26.747,13.75,145029.402597221,17.78,15.77,2.57
1981-01-01,202460.755463702,1212245.24170091,3357714.51216229,7459022,41.885,992376,62.414,1510.048,1428.866,31.9048,67.249,26.292,12.96,144451.028819631,16.57,15.25,2.47
