"period","loans_nfc","loans_hh","lendingrate","longrate","networth","houseprice"
2003-10-01,6484.614,4138.121,3.48666666666667,4.34947300555707,232.963272727273,80.1294734231404
2004-01-01,6533.322,4184.284,3.42333333333333,4.13308812025534,251.580353846154,81.2174672701329
2004-04-01,6616.587,4298.32,3.41,4.31609950519958,249.787292307692,82.9904975820475
2004-07-01,6664.698,4377.741,3.41,4.18469632257582,244.022439393939,84.6921154276925
2004-10-01,6819.665,4469.486,3.41,3.83063758360701,259.160606060606,85.7881333767059
2005-01-01,6899.006,4529.933,3.37333333333333,3.64169282383059,276.157078125,87.2223302422307
2005-04-01,7069.518,4654.703,3.32333333333333,3.38042511286613,280.136984615385,88.9938972530014
2005-07-01,7121.285,4746.55,3.31666666666667,3.23776443524983,303.354287878788,90.790422487141
2005-10-01,7226.688,4852.375,3.42333333333333,3.40429554297893,315.192369230769,91.913929793304
2006-01-01,7488.626,4944.765,3.63333333333333,3.54173223537044,347.602507692308,93.3717981032692
2006-04-01,7664.795,5065.769,3.90333333333333,4.02522061154956,348.229015384615,95.0317983218376
2006-07-01,7679.052,5154.386,4.2,3.9539168059714,350.207338461538,96.6225397153875
2006-10-01,7815.792,5259.538,4.54666666666667,3.83382438206296,383.280384615385,97.4865495659773
2007-01-01,7967.025,5347.929,4.74333333333333,4.08188510880438,402.488630769231,98.3283438348807
2007-04-01,8217.741,5461.331,4.98,4.40944810065874,429.027184615385,99.5321110210241
2007-07-01,8325.382,5542.681,5.24,4.4634561687074,416.357984615385,100.928856936628
2007-10-01,8718.731,5639.318,5.4,4.33678294230365,417.831545454545,101.210688207467
2008-01-01,8913.576,5684.496,5.32,4.12820873835491,361.787138461538,102.008694799573
2008-04-01,9099.221,5781.073,5.49333333333333,4.49660064292245,355.872692307692,102.473816553985
2008-07-01,9259.433,5829.968,5.67,4.55644157031129,309.688287878788,102.395848150527
2008-10-01,9275.849,5873.743,5.14666666666667,4.04455257258754,228.687136363636,100.842218084561
2009-01-01,9342.618,5894.616,3.49333333333333,3.88959333099688,200.15728125,99.0449139139532
2009-04-01,9343.962,5937.29,2.89333333333333,3.96008464638861,220.4968,97.8297482548294
