"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop","loans_nfc","loans_hh","lendingrate","longrate","networth","houseprice"
1988-07-01,1602823.18151428,58.2387290947058,916630.165180864,57.4454564334257,346433.003893792,63.4592323424372,480133.520823418,7.97430234621122,128478.535126866,57128785.5454961,208329.033570747,2335.63050740807,1404.35760216802,9.50510361018742,8.98863389818082,84.525,38.4322314021403
1988-10-01,1617646.81083525,59.0002388217248,923484.344082196,58.0533532269868,352722.063996741,64.0829361746893,488185.369993243,8.47532668142108,128813.908195844,57232277.0531434,208584.694782384,2445.56561621248,1456.4520002807,10.0238829254425,8.93547788896129,90.1476923076923,39.5572434981816
1989-01-01,1636648.15104354,59.7168223679452,932385.58057174,58.7259440825165,361827.714567376,64.8173206832974,499578.924132228,9.51583903395438,129384.125305326,57329849.8577354,208835.690661976,2463.09784552389,1465.75962146673,11.1381474904978,9.35689634213752,95.0933846153847,40.7864060051159
1989-04-01,1652207.08709727,60.2333820546341,938208.992000041,59.6189539523166,365415.605796675,65.614876120403,507386.501596898,9.69123550784868,129909.684728523,57420609.3686609,209082.34863486,2542.19808836673,1504.63108985158,11.4018170933424,9.57868699226671,100.791384615385,42.0191131706791
1989-07-01,1662086.94435832,60.841476940306,949081.250105964,60.1736498978032,367982.07384809,66.0486079214011,518152.015461385,10.1019317303459,130604.439349466,57503660.9953084,209324.928411934,2576.11644092447,1520.33510128967,11.6710247414715,9.55642166378165,111.043384615385,43.2554692495369
1989-10-01,1679406.70036682,61.6714412611339,958920.274202344,60.8364752375771,376637.153963838,66.8622667290124,529833.585888006,11.0717769448713,131482.408353251,57632348.2378266,209563.621108819,2683.37493669969,1564.93991222814,12.3967433494469,10.0359042889005,112.020923076923,44.4953699870237
1990-01-01,1702174.7520862,62.5487955905527,966759.64630871,61.4170613218736,387799.149687906,67.8096569390275,545516.687517323,11.2255355314126,132306.103232157,57750715.1276521,209798.550227738,2736.24957605322,1592.54788754235,12.6688851272397,10.7541198294735,117.051692307692,45.7389196378051
1990-04-01,1709947.69072372,63.4414347761474,972963.552937262,62.1232189058918,385586.033236989,68.7547772147397,559007.480309925,10.617898085615,132885.684510167,57857043.7869812,210029.774321553,2800.78516452509,1621.99053247372,12.0968618129783,10.7378521504704,120.233846153846,46.9191867065924
1990-07-01,1725806.60886095,64.0286553237717,976215.186973803,62.8912545153185,386917.883083278,69.3585791865693,569029.009735606,10.5362177171273,133412.675662309,57949616.3380105,210257.29120171,2851.43264420829,1649.42145741683,11.9970930894437,10.8317768537053,108.336461538462,48.0360669387202
1990-10-01,1735572.366502,64.782896962667,984821.814162588,63.8079950920179,389833.508119026,70.0210239836996,582224.381269332,11.046166203437,134015.378817592,57785451.1356035,210481.043592382,2993.73549148239,1710.45868165565,12.465793150873,10.9224380714888,93.7368181818182,49.0895603341885
1991-01-01,1747566.2178378,65.6601658231791,995640.482072209,64.3640227126176,389839.649231927,70.6516565363495,591046.590602662,11.0963972265041,134560.915628171,57607756.2440969,210700.925987991,3058.95128984133,1708.85669870947,12.5870471985755,10.4997371083288,96.70203125,50.0798754023283
1991-04-01,1752757.15791966,66.598099067441,1004181.21218092,65.2461598045965,390706.05080277,71.762973320699,606088.702410388,10.4614395206008,134444.088809289,57418475.9604947,210916.792505701,3141.82813961072,1745.46569923439,11.8941310739538,10.0012496552811,106.932769230769,50.9705230101942
1991-07-01,1752272.9262873,67.4488313325289,1000862.54169969,66.3130856658501,390081.692373809,72.6365606206482,613024.6552084,10.5058770051721,133953.201808845,57219554.5818006,211128.465554623,3213.52215385234,1775.92616765217,11.9593727158795,10.0917218297,104.108787878788,51.7615031577863
1991-10-01,1768937.06247548,68.4550881593054,1014981.36913497,67.2345551695182,395328.312054125,73.014764981881,622959.25764267,10.7320933694755,133767.779426581,57061877.2750229,211335.745168697,3313.75513575038,1838.32861310667,12.1466672038035,9.84435958213607,100.662272727273,52.4530243544355
1992-01-01,1795640.11338902,68.9636453868679,1021129.49360348,67.8398625524123,402437.012680289,73.3366942076615,635360.313633324,10.849124833269,133639.162745242,56897704.5871871,211538.418688233,3386.64350510262,1855.09408097233,12.3256990726844,9.53162414917653,106.345538461538,53.0449823454765
1992-04-01,1781933.53862395,69.607191944229,1022290.09273536,68.4943688142854,396526.820955681,73.651877432214,641605.913937803,10.9789641712512,133433.3760551,56728237.9353231,211736.270489034,3464.10777384951,1894.89836455522,12.4850731706623,9.62735172913028,108.425230769231,53.5483238707928
1992-07-01,1776943.61275978,70.1957252204088,1020435.64987589,69.0066828944834,388896.832101459,74.1082120840951,652219.676412997,11.9282741239569,132792.436259761,56554678.7364609,211929.091466,3518.32959672028,1923.05245508639,13.6051466326388,10.0014884468995,97.2971212121212,53.9631531850499
1992-10-01,1773390.46177349,70.824544585055,1028848.63510356,69.7238696816025,385603.880279045,74.515054635153,651813.672715457,11.4515345751731,132149.352853067,56213723.1142135,212116.687979937,3621.98738134717,1966.59252816844,13.047017121885,9.96244601729209,96.5260606060606,54.2894702882479
1993-01-01,1761307.40014879,71.7090319140283,1011710.45413322,70.7623382744434,374723.268513865,75.1877322585345,651406.559855947,10.7060019204763,131515.915697472,55873574.8267523,212298.890096311,3681.68403519761,1998.20564285239,12.3476617309985,9.3697602456134,106.35328125,54.5271709257212
1993-04-01,1762613.88295946,72.3609349610369,1011536.33620418,71.3693509981066,368836.057336898,75.7844801175541,654592.839364398,9.09112114799197,130926.422574668,55537932.3388317,212475.558935022,3749.41093352411,2026.69185179923,10.7279763078375,8.9473229481987,110.712461538462,54.7951054162064
1993-07-01,1769921.88417637,72.8475831459649,1014800.73598432,71.9765240386052,369343.221957866,76.1174314784977,654332.771132262,8.12000806480158,130590.947397509,55210494.115206,212646.592935463,3779.37742985957,2054.30543588921,9.80425109938144,7.93768910143314,122.309242424242,55.0929609957069
1993-10-01,1774556.56892478,73.4357477749789,1020515.87196394,72.6447440665993,365769.530265934,76.3914578022508,656546.134093632,7.41204477332988,130428.03293448,55116249.9304163,212811.932821702,3815.15427389305,2120.3850617107,9.05737465598672,7.27232312083601,130.703787878788,55.4210504282194
1994-01-01,1790999.89362533,73.8482348741386,1021287.96678816,73.3007273646381,369505.119566736,76.8460715459259,659221.705014559,6.8399226649811,130319.780561019,55034247.9292121,212971.56536257,3769.25706393992,2137.43706311144,8.53826970374952,6.93822280278577,138.42796875,55.7791652044127
1994-04-01,1802154.73045025,74.3433340953266,1024230.0547223,73.8363843696518,375496.490599751,77.1236762911747,664219.45776942,6.36992797893708,130287.626390684,54964827.5661295,213125.525995009,3775.4820596578,2178.06404525341,7.96145797968792,7.8204255023955,136.038307692308,56.08108671587
1994-07-01,1814290.96384287,74.8734932621251,1031674.39348194,74.3873387750575,379523.450892717,77.461711888035,670025.063603618,6.38326182817901,130526.63905684,54908328.2957048,213273.90035025,3783.21055010415,2205.98912602737,8.00765307482503,8.68604511907286,131.977272727273,56.3270234719224
1994-10-01,1828686.05888531,75.4935764890096,1036376.02925141,74.9145044054476,388899.626089013,77.8617616920791,677826.29382115,6.50659343374043,130751.718249183,54915107.3888841,213416.824691972,3852.67939214764,2267.71213969033,8.1828830200391,9.09397980553045,127.305538461538,56.5167669632388
1995-01-01,1838619.30140098,75.9678504533043,1040958.59797705,75.504073497576,383544.012954182,78.3274671368589,682005.091793683,6.9432544966683,130758.14908325,54934727.2567069,213554.485459598,3768.04899273705,2275.10991459629,8.69124009869734,9.27307451429085,124.775846153846,56.6504214444848
1995-04-01,1849558.76360774,76.6590058073488,1052956.86104193,75.9729708638787,387175.558885608,78.8640217423579,690136.274268587,7.13658631077817,130987.48460667,54966768.1266225,213687.118078227,3834.71447653945,2324.28080578458,8.99805109855125,8.88503813440099,128.996923076923,56.8241097173052
1995-07-01,1854956.79784063,77.2728060310343,1052055.36554167,76.6415188508251,386766.813499417,79.200290632776,696022.225298349,6.69325732324063,131142.086897445,55010810.2260806,213815.005165354,3845.66202833075,2347.74616574155,8.55092483319749,8.47046902081236,135.114153846154,57.0378317817
1995-10-01,1860221.85141571,77.8074233514031,1053207.51276961,77.0924687435823,390532.142040807,79.4482091982157,702921.695023581,6.50659343374043,131407.54362256,55056719.0825668,213938.474233899,3866.70567910924,2396.40476970044,8.38966513384513,8.11228159322173,133.261538461539,57.2915876376693
1996-01-01,1862787.53621418,77.9944204725089,1061685.09675526,77.3981264108401,381790.731739482,79.6489061498726,705852.314700305,5.62993634559117,131452.57903385,55113937.084217,214057.895008005,3889.4902185207,2422.42613903293,7.50520920197479,7.604849404135,144.697846153846,57.5853772852131
1996-04-01,1875875.73527049,78.2279979170177,1064989.17487574,77.7173787320914,396386.142325148,79.6608897321458,710610.550163571,5.13660892335679,131765.095927092,55182191.9192034,214173.676439985,3935.27664465173,2464.15801185188,6.98342048494029,7.49872045927005,152.002615384615,58.0991463911428
1996-07-01,1887975.9158681,78.5253127794349,1071705.98798566,78.0287041832163,398744.0632605,79.9653988091677,718292.878461054,4.99994346855343,132091.98502245,55261211.275698,214286.263490427,3942.58626674214,2500.14293365454,6.79575580310671,7.24002953934348,149.376060606061,58.4781509137326
