"period","pubcons_rpc","pubinves_rpc","salaries_rpc","subs_rpc","dirtax_rpc","indirtax_rpc","tfs_rpc","sce_rpc","scr_rpc","debt_rpc"
1984-07-01,1571.55026251659,301.341460087209,861.474420348609,184.649788778768,794.446684905203,828.28743215257,1174.5241594355,593.241776015586,610.549902291592,14223.8590606005
1984-10-01,1586.54137155786,305.893564709652,864.18067725252,184.62670191745,804.57838713808,829.481856760853,1179.77082233199,595.64889719861,613.060012000465,14600.5253116958
1985-01-01,1584.59832236263,312.274619214315,860.495295863347,181.639427472873,817.971810328982,827.230085176965,1177.91597091934,596.214833216793,613.669504068648,14727.0518692038
1985-04-01,1584.66557431526,310.812704712245,859.351983008931,179.810784002486,813.714819250047,822.635333147846,1181.19708180579,598.609206662827,616.160852456841,14914.6949873039
1985-07-01,1585.39982698115,316.692588862081,861.525859548557,179.013748752919,807.404778828591,814.641567239234,1181.34840003542,599.036621642372,616.652648015851,15060.6775179066
1985-10-01,1588.2085412915,318.258133326152,868.528702534581,179.549236451945,813.022909273428,814.947908508872,1183.72853765208,601.614294708038,619.28708330964,15209.5343677828
1986-01-01,1588.7403187949,319.77598147982,869.262649784023,180.489290699312,810.822071258075,826.537487060322,1183.43488750175,602.761013659701,620.304480204129,15395.3944131318
1986-04-01,1589.29531632987,311.100759378435,869.340961708571,182.108075467107,821.558482680201,827.636347612,1188.12276988672,603.884918152125,621.4823648375,15631.1107769284
1986-07-01,1595.67992892619,315.483636126894,866.620986070164,183.47876667143,834.278913424129,833.482749980435,1193.62548690624,606.650219604133,624.384137992095,15898.803069817
1986-10-01,1594.17659442418,309.874235705701,863.774200864566,184.691750929524,839.223123157947,838.013766218132,1200.62430182464,609.889172300487,627.75983735259,16205.3662693353
1987-01-01,1605.31724519789,304.17388076833,870.371376583358,185.565796208141,853.860828732848,842.449341314354,1205.83604885624,612.533552766848,630.574612862063,16403.8963215956
1987-04-01,1617.57516601261,307.714089612566,875.8142896969,184.442238414718,857.212572284097,847.109445077063,1206.99531838805,615.000677353747,633.088432498917,16579.6426858806
1987-07-01,1622.31167191671,303.940289639283,876.375621873596,182.969976396705,864.142263429155,857.313667610911,1211.52537865548,619.435612690286,637.506839111598,16777.835923437
1987-10-01,1634.60695135986,311.486973751526,874.244520054666,179.765178736937,874.045676628307,864.186160941085,1210.03434811478,620.528223090904,638.583725349318,16884.1062941351
1988-01-01,1622.60295998724,311.606433326337,873.775670038916,176.887832305387,868.31899188985,865.27187567603,1213.62807702251,621.143350640351,639.284816075355,17045.8804318967
1988-04-01,1629.79047131249,315.142284957084,876.100799416315,174.384271954289,877.522004157602,874.480112327775,1216.60620295408,622.53524161197,640.771300706836,17186.1870718744
1988-07-01,1638.898128187,320.503826525614,881.359005538141,172.355686856992,889.335231938861,877.925384292511,1223.48132618675,625.73067180091,644.108263622021,17373.8142239655
1988-10-01,1635.50484450642,328.123829256928,882.894698007706,169.865881013119,897.971362300164,884.934551159184,1228.26103366484,626.955359528522,645.365706657391,17487.8265379531
1989-01-01,1647.18099934217,330.668310160531,884.578783693486,167.801015896543,929.810884400204,893.116450873045,1233.00993186892,632.646004755132,651.199592129971,17684.9656485006
1989-04-01,1641.89381772692,334.971422481495,886.819046253356,166.706946341249,942.538870283342,904.852651929304,1246.11311981755,640.007316621089,658.725458730506,17936.0942574744
1989-07-01,1656.89774240066,342.919374795153,900.013647565341,165.777667563376,955.375768612091,919.640464893418,1258.04906008168,647.486771982732,666.400374526509,18167.3887637861
1989-10-01,1664.03169692404,344.320822891198,912.49736395527,164.767616620719,960.563187599699,927.957109914911,1268.36003889632,653.677438381113,672.866556028501,18355.1362779484
1990-01-01,1688.93868813928,352.859723334269,922.241343773847,163.274488460427,947.665086371283,929.036227180189,1280.9599002285,657.829061635156,676.800245590848,18491.4721827656
1990-04-01,1705.2158874129,358.079375962363,930.284086520002,162.065434430288,956.431827183115,937.258259665541,1292.04147266939,661.956718761475,681.226287099051,18653.2728837706
1990-07-01,1718.8704165248,359.684344513839,937.831694564166,162.960062266978,957.780658539187,945.697501846965,1308.01755130409,667.395697234613,687.219073708463,18921.2978345601
1990-10-01,1729.02253604662,358.308173741511,942.230568240337,163.897024048878,980.720309644827,947.607092474062,1316.83300934234,670.64231510946,690.108143604018,19146.7219805685
1991-01-01,1716.5686956388,354.043534870767,943.347099358284,165.56753809119,998.699798611117,959.069861299379,1318.76544909503,671.971505553613,693.332719223476,19351.5111678378
1991-04-01,1734.19909078858,360.47499822767,947.246081773643,165.304240309033,1003.8787968135,954.493376805867,1322.88993887686,677.668405999393,697.524286480457,19530.9035249743
1991-07-01,1740.27124116795,360.71627450896,949.95985549337,162.078406407067,1018.5538159212,957.385176527696,1332.89121334567,682.987741118867,701.030836022153,19726.8390862204
1991-10-01,1750.09630165512,361.738048579272,952.906337614053,157.650308158874,1012.80739539492,957.893947037858,1342.97869442391,688.67689528206,704.014071879979,19880.4449972003
1992-01-01,1779.71736819956,367.031143879732,963.885422340206,153.36011561602,1024.25311564457,960.141079621807,1368.23540119349,702.471771593749,712.813082791695,20121.3216627316
1992-04-01,1778.12701163331,354.317413838683,968.000375873275,152.10569657626,1020.71141943968,969.737377796024,1385.52075310301,705.659574722784,711.361352797339,20337.2641874584
1992-07-01,1793.91727905864,353.76996898614,976.237854499654,154.70611353672,1022.83438211687,969.058914409727,1398.65825633121,715.46302515745,715.131748622258,20583.7470247025
1992-10-01,1799.11252538588,338.480485713339,972.07185608048,157.82173472909,1010.92237433613,968.343962341656,1405.11109527808,719.481559214852,712.976297267947,20826.6670401816
1993-01-01,1772.00221529213,331.270339819618,956.297605243104,161.100425454499,1005.05927801603,960.575992039366,1405.84507041922,718.574488282603,704.37331824673,21091.9418994609
1993-04-01,1775.83584403526,324.756843939143,952.766365504312,161.336867047446,998.509965724629,956.735936458667,1408.02183217973,724.516511605298,703.438926980924,21423.4620568685
1993-07-01,1767.81692375974,320.86252560327,951.884510427499,158.598707273236,990.159749202332,960.093082979366,1411.84300044731,726.889483487213,698.643172160159,21801.170218699
1993-10-01,1752.43529203837,320.255234075224,950.605077967107,155.253836666833,982.048192367559,961.071161457712,1415.08603705111,730.479279924022,696.034672729758,22154.8895319114
