"period","debt","dirtax","indirtax","intpay","pubcons","pubinves","salaries","sce","scr","subs","tfs","totexp","totrev","unemp"
1995-04-01,3989568.2035448,161294.220480418,161919.889479855,74699.4898216024,287709.400165205,49696.8972898663,154064.871180574,124794.154414783,115095.049875363,24225.3147511105,234773.877870601,763709.799532053,643655.137509201,26521.3591436146
1995-07-01,4096578.4930949,163275.488872208,164203.824213415,76440.190207382,291773.769218105,49744.5462073655,155731.666227855,126161.21428622,116238.300006958,24090.458128058,237769.247215811,765091.435173773,655344.891876959,26323.600934155
1995-10-01,4197286.8236902,167775.850386949,165523.481346915,77672.4099432604,296504.226529469,49162.0673052868,158404.599078934,127215.031588113,117240.6235858,24127.2038332955,241103.328345099,766028.378105561,668518.683890798,26419.1855887794
1996-01-01,4279371.38098208,172210.754361794,168943.776709537,79215.9221083438,299619.140322264,49287.4827208517,160717.445531978,128453.321484462,122634.458754354,24240.6589640924,245632.198893175,762823.424249711,677487.145531885,27440.8023730316
1996-04-01,4351884.58807747,172809.58147506,170696.163663753,81516.5853681846,303242.880485163,50572.4805926629,163158.612129358,129393.354828576,123794.664321548,24427.0063955195,248482.799864353,761179.355327621,682152.533130336,27908.2193507624
1996-07-01,4412895.44711233,177333.819154987,172259.984506569,79117.2661814274,305666.942311673,50830.0023097593,164588.892880889,130091.39556726,124828.377191151,24266.6702450763,250868.233034471,761245.980385967,689934.140878566,27947.2007571313
1996-10-01,4466604.3871742,175171.419908236,173846.566863376,79172.6621119893,306240.302443461,50886.1872003614,163959.42947114,130837.479449059,125827.415374491,23874.7542935287,252160.548080268,758483.221226846,690039.346753825,27952.9043424181
1997-01-01,4493391.20214412,176571.773764335,174389.585435568,75811.9609889393,305914.545184223,49295.9714822334,163654.220850303,130881.415117844,126830.012987047,23300.7720863465,252974.502967098,758973.626723699,696645.526989626,27823.8570835429
1997-04-01,4515687.87969292,181873.035422402,176893.722770181,74321.0039530932,306865.652633683,49091.636752099,164343.2253847,130977.119680773,127209.597962652,23049.1423491999,253617.126494184,757389.044981988,703591.590899715,27877.346072008
1997-07-01,4533879.94589525,179492.874160745,179886.493007787,73888.4529753858,306734.247217772,48845.0134812365,165612.8839154,131018.205569691,127621.302548767,23231.3470102563,254035.34140312,756991.072207677,706215.874619685,28122.8155289524
1997-10-01,4548715.31339254,185586.708695519,184558.742291946,71245.002023015,306651.983817553,49083.0950975165,166862.081907128,130768.44889249,127726.282545537,23594.0236909624,254911.842892686,762907.335418476,716990.324938254,28304.3592815242
1998-01-01,4582815.27980581,188451.23347313,188997.498670435,73358.9128119944,309566.259552951,50346.770261621,166648.6620626,122843.199751954,127984.361911528,24277.3802854722,255057.621850182,765477.729932324,719212.666082368,27325.2044548462
1998-04-01,4617726.23425687,189341.582269127,193898.357546658,72108.9758246105,311202.845265512,50946.3878717061,166190.590821619,123332.346781411,128676.832109833,24630.8839156352,256611.690367146,770975.930639392,724727.176841491,27039.5729636752
1998-07-01,4655870.9923469,196655.973070585,198280.854885879,70634.3700220051,314494.365918937,51829.7134866758,166962.737054566,124015.451949843,129440.344270654,24981.3337726106,258826.547966702,779240.068090331,733832.784398058,26924.8087833439
1998-10-01,4695649.18711945,200707.11541365,201606.972400807,69262.368073116,318588.72048439,52141.7145089241,169042.938298689,125174.206102285,130792.773812687,25433.694820547,261543.557945985,783935.494816457,738504.057392054,26842.0117980042
1999-01-01,4730970.26974102,202917.872924326,204656.568138597,67510.8175099308,322599.724287316,53939.1307441936,171572.704376848,126426.740799855,132167.790378697,25639.2468456757,265261.594012223,792667.312165632,752296.773963481,27087.3319926271
1999-04-01,4767681.78895884,207879.792756822,207880.730704416,65347.3095047736,326283.021312677,55252.5140401701,173759.143651566,127379.291433044,133495.167546472,25938.0864436014,267662.394000854,799233.45404765,762909.168279298,26521.938536445
1999-07-01,4792617.1397134,211711.772548879,210547.68422949,64683.9633179517,330340.674812002,55742.2651131304,175289.086181506,128658.959140399,135215.641711919,25844.1040534332,269645.063960394,808449.510122405,772726.198188448,26454.7070194517
1999-10-01,4820309.82766936,215399.058906483,213807.797628787,64910.4108265583,333958.909646306,56335.1169564252,176060.174558318,129622.368813305,136667.261178791,25676.1012854878,271592.323312014,817964.802965005,787233.06747084,26903.1724276635
2000-01-01,4849989.91972715,221464.514057683,215153.375479955,64977.4808169827,339414.958213857,57584.2891215343,177710.989383347,130465.433132074,138282.573060275,25681.7199250991,271623.208171247,823362.84261085,792835.617706797,24735.4453876704
2000-04-01,4858025.406748,221722.987127846,216792.766168345,65680.8811908436,341370.469637203,57438.2145144198,179904.802978943,131406.593054675,139868.024080332,25724.8165294141,273353.862965263,832566.599631689,799096.725193642,25220.7206498777
2000-07-01,4887853.73889174,222365.150285866,218081.678115682,67640.4636746775,345972.451495913,58614.1696094081,181910.303175122,132200.237006375,141418.248784613,26009.3139781487,275708.847354626,834390.80884579,805526.614621623,25988.9268383432
2000-10-01,4895202.8807228,221825.872846666,217756.013180363,68475.16910484,348396.260825139,59851.9792029124,183181.827491719,133083.576618227,142963.082621975,26158.6728708112,277692.495227936,836976.028967113,807087.160643933,25704.5818367445
2001-01-01,4901667.70661705,222279.060165084,220151.314060352,68067.422171606,352821.815635081,59993.4588040814,184626.474969331,133402.561635024,144198.111924983,26247.2285934023,281541.006969788,850972.975145147,814816.033808987,26494.8123921191
2001-04-01,4946043.1336757,224658.8959854,221458.753370115,68156.1771460072,358463.354132956,61096.8310518549,186826.100322572,134564.975006021,145913.794111046,26576.1480146412,284513.242803673,859466.0377698,822316.106725297,26703.534785797
2001-07-01,4972514.87026125,222949.455483779,221416.852728816,68341.9637193023,362250.347818048,61027.9184335788,188762.429546465,134975.066971514,146812.042493185,26833.4846303425,287121.597663294,871840.583890551,822401.784930836,25928.6804255731
2001-10-01,5035832.97961224,221298.205701127,224557.679350082,66432.9612060251,370683.53577926,62280.3392646695,191511.028388004,135955.578183369,148282.987223789,27065.994933247,290713.1841606,888999.513800569,827776.305421477,26286.9245302845
2002-01-01,5084436.91466417,221893.399384192,226895.673425775,66622.6693917177,373346.547934678,62967.3335045169,194035.616518407,137221.752422729,149662.913624708,27194.4847304662,295115.567424976,891930.39120353,832409.617952957,27683.3106492624
2002-04-01,5121225.33432117,220489.962264846,229002.759769984,64670.5698508206,379840.968091785,62358.7534037445,195732.675902342,137939.176466785,150702.178325276,27030.3481065579,298889.102102575,902865.488566166,835810.524891695,28329.7977616842
2002-07-01,5172482.3019494,222306.62258789,234584.047262451,63989.4981828317,383583.284607762,64078.7344786961,197797.219589226,139676.717745668,152720.588313845,27016.8188045913,303152.861921844,913008.121769907,850494.691264353,29983.0776777341
2002-10-01,5222257.68498734,222910.057191793,233812.889823843,64662.8199011932,387485.155807987,64212.1171769619,199471.769133345,140671.20770099,153895.414710128,27028.1254511812,306801.54941613,918196.306170217,851249.881045977,30905.7232930762
2003-01-01,5284602.18604317,221209.653134602,236535.042008046,64708.7135929443,391885.32149398,64246.0414138898,200788.350025287,142088.724580384,155613.310551974,27112.8572911774,309105.894473953,930049.900333714,860304.498634775,30618.6581410804
2003-04-01,5347401.5980129,220137.4190717,237565.440343806,62327.4609893268,393998.338474612,65436.9737584897,202285.099726078,143487.380361832,157166.31129803,27079.0606462657,313094.504241463,937050.420027631,866005.462087835,31928.7762455463
2003-07-01,5421422.44278458,222883.554481409,238408.335721355,62600.6378595667,401715.262324441,65837.7421292053,208089.558470788,144298.10985794,158061.343378462,26762.07817763,316090.926185842,947688.180345641,866341.254301274,32676.1985377191
