"period","defgdp","shortrate","employ","gdp_rcp","conso_rpc","inves_rpc","wage_rph","hours_pc","pinves_defl","pconso_defl"
"1984Q1",46.8800780910663,0.114315611420011,0.610553584357122,7016.29690202419,3981.99394790871,1430.47860689333,0.135562548442902,2775.11009880614,1.11788929168971,1.01482414996832
"1984Q2",47.5711455144534,0.108578106330637,0.608735822317308,6968.63501364822,3960.59887194902,1393.83868174659,0.134255836593392,2763.24307462166,1.11729767528714,1.01554911355672
"1984Q3",48.3352471572302,0.10413454807136,0.608303541501944,7026.2763396251,3960.25569571489,1409.80775325096,0.135219584982952,2751.97826729693,1.1165012724616,1.01544031281169
"1984Q4",48.8166348886522,0.101279961406508,0.606983149136187,7048.41333525609,3959.24188743293,1418.89506234205,0.136489935964128,2742.4676803331,1.12235361866755,1.02026106555102
"1985Q1",49.6319808723036,0.0986331709622246,0.605992375278184,7050.85761769804,3986.29920567816,1399.94144164788,0.137165794336285,2733.62097553231,1.117038188553,1.02029694544832
"1985Q2",50.2937779261251,0.0996147674938847,0.605612186925918,7105.07111955575,4005.5731182027,1419.90056763509,0.137655240122305,2725.46027756042,1.11635658983344,1.01925743275171
"1985Q3",51.0832513716011,0.0934669878032464,0.605614673313613,7152.49289443499,4035.73992938815,1446.80185544396,0.13865983078406,2718.00618910909,1.1104322002311,1.01507989584227
"1985Q4",51.823783213184,0.08627874483652,0.606217822117742,7182.77714579954,4058.48603294956,1461.50935051522,0.138976238227299,2715.44603740319,1.11065042686518,1.01274110194791
"1986Q1",52.7776282907508,0.0874852127456905,0.606885466843376,7146.38198249614,4065.68511831234,1444.91565426886,0.138600237454938,2713.55282165841,1.095982583773,1.00282810634901
"1986Q2",53.4984422016728,0.0802830292365816,0.607295792706192,7265.71711928342,4132.49023137514,1480.78638559401,0.138985261713972,2712.28161804124,1.09182761864177,0.995169041781444
"1986Q3",54.0805955432202,0.0775325359648059,0.608332117704871,7291.26734487442,4156.3419545802,1499.66178463554,0.139513095181841,2711.58707050266,1.08438777153817,0.991153116158274
"1986Q4",54.5431392654763,0.0787468454353165,0.609653484362045,7298.3073352027,4181.65189099111,1510.68276816376,0.139918386747917,2713.27937033253,1.08571958075014,0.991840405432186
"1987Q1",54.9779834458962,0.0810526133353428,0.61011125960176,7252.66516798387,4182.91393047944,1483.65450357445,0.140131673540174,2715.42346347195,1.08675855160617,0.991371665832133
"1987Q2",55.4920426862513,0.0842573159516382,0.610902071870661,7364.38897204464,4249.20753508239,1530.85314478469,0.141405580373536,2717.94602852007,1.08630116773166,0.991516701045639
"1987Q3",55.8819483001896,0.0849014051192974,0.611773840961321,7433.20570407698,4279.85348288848,1564.18649338572,0.142312053402517,2720.77413307662,1.08558637233012,0.992150393890086
"1987Q4",56.5482442803271,0.0842591686806904,0.612590884537094,7517.84245062225,4327.8984396935,1585.65288439271,0.142623892361075,2726.06136180461,1.08723034585245,0.987789006642422
"1988Q1",57.0908686756047,0.0745351488645148,0.614463726016301,7549.45252092802,4324.51216488165,1609.12103422586,0.143335810113976,2731.47045502889,1.08530731186404,0.9854599224068
"1988Q2",57.722687914256,0.0725975435118892,0.615928737492559,7609.103978707,4342.86955161376,1637.42581240077,0.14368817314022,2736.89716322383,1.0860399050631,0.985562401496006
"1988Q3",58.2387290947058,0.0797430234621122,0.616709696794303,7693.71006067657,4399.91560211209,1662.91273931411,0.144309574657796,2742.23830285737,1.08963971791421,0.986378949650667
"1988Q4",59.0002388217248,0.0847532668142108,0.617561649622644,7755.34759404538,4427.38305917252,1691.02562565646,0.144573922934827,2743.83876117343,1.0861470640538,0.983951156577534
"1989Q1",59.7168223679452,0.0951583903395438,0.619549871457311,7837.0136151327,4464.68502398334,1732.59519682886,0.145923962382467,2745.21321887121,1.08541141529476,0.983407049368378
"1989Q2",60.2333820546341,0.0969123550784868,0.621332626004678,7902.18350752636,4487.2701982056,1747.71140740739,0.146701266413823,2746.31549452029,1.08934404614517,0.989799209651548
"1989Q3",60.841476940306,0.101019317303459,0.623931608816548,7940.22459230213,4534.00967245646,1757.94673209649,0.148102349608817,2747.10047348714,1.08558521658184,0.989023490617132
"1989Q4",61.6714412611339,0.110717769448713,0.627410462071451,8013.82745478884,4575.79549889725,1797.24492242985,0.149069594883056,2750.11225387731,1.08416903126845,0.986461058692932
"1990Q1",62.5487955905527,0.112255355314126,0.630634020533211,8113.37709549696,4608.03778319386,1848.43579360748,0.151019045945646,2752.67465218245,1.08410811589263,0.981906377924723
"1990Q2",63.4414347761474,0.10617898085615,0.632699268184334,8141.45373553469,4632.50296811569,1835.86367448389,0.152295960246138,2754.70675402445,1.08375192738532,0.979221531245204
"1990Q3",64.0286553237717,0.105362177171273,0.634521042765264,8208.07021243936,4642.95521641278,1840.21148979841,0.15335906834187,2756.12874144833,1.08324278927686,0.98223606598168
"1990Q4",64.782896962667,0.11046166203437,0.636709969364874,8245.74192944004,4678.90978377034,1852.10744618873,0.155529048452903,2745.39930766929,1.08085663449183,0.984951246141232
"1991Q1",65.6601658231791,0.110963972265041,0.638634666635688,8294.06045390329,4725.37307277404,1850.20377771926,0.156256747796773,2734.10076267915,1.07602007473774,0.980259825812016
"1991Q2",66.598099067441,0.104614395206008,0.637427144667273,8310.18306838836,4761.03016858545,1852.41794245572,0.158497601540849,2722.32833044541,1.07755287801875,0.979700032256544
"1991Q3",67.4488313325289,0.105058770051721,0.634463010267032,8299.55790984498,4740.53813194011,1847.60350220463,0.158839693289107,2710.17716305985,1.07691355336527,0.983161373677781
"1991Q4",68.4550881593054,0.107320933694755,0.632963341434748,8370.26912349086,4802.69614742538,1870.61735220683,0.159480597713904,2700.05801571683,1.0666082966976,0.982170310160921
"1992Q1",68.9636453868679,0.10849124833269,0.631748897311181,8488.48225548782,4827.15858393754,1902.42989985381,0.161921727283617,2689.71021623469,1.06341092899399,0.983704706615325
"1992Q2",69.607191944229,0.109789641712512,0.630186673954901,8415.8162156551,4828.12930620833,1872.739233764,0.162485626919267,2679.1932154232,1.05810729286746,0.984012813922516
"1992Q3",70.1957252204088,0.119282741239569,0.626588994182823,8384.61393132927,4814.98619569932,1835.03279050224,0.164291347505388,2668.56609185879,1.05573682516138,0.983061043643442
"1992Q4",70.824544585055,0.114515345751731,0.623003093776222,8360.44763220714,4850.38987220504,1817.88563620943,0.163718337305433,2650.13204050831,1.05210778370295,0.98445913193087
"1993Q1",71.7090319140283,0.107060019204763,0.619484706857437,8296.35708104627,4765.50043984804,1765.07408184692,0.162581755858722,2631.83546562137,1.04851132767594,0.986798125503634
"1993Q2",72.3609349610369,0.0909112114799197,0.616195214315013,8295.60770092383,4760.71855640359,1735.89875082853,0.162883605292505,2613.85039376769,1.04731206359288,0.986296694985157
"1993Q3",72.8475831459649,0.0812000806480158,0.614121983309379,8323.30233813586,4772.24074919602,1736.88756005585,0.162690386152217,2596.3498099385,1.0448861608213,0.988042717826144
"1993Q4",73.4357477749789,0.0741204477332988,0.612879321216235,8338.61403068754,4795.38839026919,1718.7453984189,0.162210165012968,2589.90410921147,1.04024892667164,0.989228628667289
"1994Q1",73.8482348741386,0.068399226649811,0.611911643411921,8409.57284873344,4795.41935586324,1734.99743469358,0.16220279852498,2584.1124769647,1.04059456095188,0.992586044738461
"1994Q2",74.3433340953266,0.0636992797893708,0.611318732387483,8455.8371036816,4805.75965708719,1761.85601816905,0.162549145116349,2578.98847683861,1.03739867507533,0.993180965962265
"1994Q3",74.8734932621251,0.0638326182817901,0.612014122883681,8506.85883675098,4837.32135900206,1779.51193404089,0.162976404032254,2574.54513681849,1.03456788929092,0.993506988042275
"1994Q4",75.4935764890096,0.0650659343374043,0.612658905584875,8568.61243964565,4856.11212118459,1822.25382956718,0.163499554651181,2573.13862054428,1.03136936032451,0.992329518477028
"1995Q1",75.9678504533043,0.069432544966683,0.612294088798183,8609.60282545236,4874.44033655749,1796.00073549728,0.163422107326509,2572.39866156311,1.03106072726126,0.993895089133615
"1995Q2",76.6590058073488,0.0713658631077817,0.612987276840515,8655.45279585197,4927.56358226733,1811.88067099052,0.163783998642483,2572.3014387091,1.02876395162951,0.991050823888921
"1995Q3",77.2728060310343,0.0669325732324063,0.61334370240305,8675.52207763016,4920.40006606673,1808.88527070544,0.163737585894752,2572.82271576487,1.02494389295204,0.991830409523944
"1995Q4",77.8074233514031,0.0650659343374043,0.614230535639383,8695.12535357213,4922.94579804349,1825.44137252207,0.164087533345758,2573.48376815912,1.02108778026747,0.990811228838772
"1996Q1",77.9944204725089,0.0562993634559117,0.61409825145171,8702.26036813319,4959.80349949511,1783.58631306359,0.164205943171968,2574.72106236287,1.02121287224574,0.99235465744785
"1996Q2",78.2279979170177,0.0513660892335679,0.615225447484044,8758.66617434729,4972.54934676424,1850.76965999705,0.164615410059329,2576.51607034287,1.01831686676486,0.993472679877759
"1996Q3",78.5253127794349,0.0499994346855343,0.616427683561484,8810.53169305199,5001.28179253794,1860.80085939953,0.16552800684489,2578.84991672211,1.01833913140566,0.993675815114376
"1996Q4",78.8143963937709,0.0458661514181591,0.617009106410931,8843.60072508949,5004.69062187442,1861.9883515556,0.165830955574583,2581.00896833658,1.0142368180501,0.994111400621071
"1997Q1",79.0958916616045,0.0443994980007545,0.618155981742267,8859.23703783286,5018.88591763731,1845.71014512638,0.166396298012215,2583.67940517082,1.01647146067852,0.995475030451105
"1997Q2",79.404676128206,0.0432661808145114,0.619539972533794,8969.23578180696,5059.62560521914,1878.75499132814,0.166578727004565,2586.85197291532,1.01475179445321,0.993800372023426
"1997Q3",79.7222118107922,0.043232841191463,0.62131825168408,9032.48317421143,5069.19549112481,1885.25068025684,0.166989788892146,2590.51717547127,1.01517997847466,0.997898637013141
"1997Q4",80.0721789816193,0.0443328287545448,0.622852395113905,9126.81781249935,5127.19517074606,1926.15063354699,0.166819284869978,2600.56759137193,1.01343342171894,0.996830666964277
"1998Q1",80.3328794567245,0.0420328547590102,0.626242208075853,9179.68316430102,5157.79287443966,1964.30598833026,0.166414880357287,2610.99580122823,1.01007810007864,0.993848200203496
"1998Q2",80.8218599196423,0.0405662113414925,0.629124106989346,9212.70637305751,5188.18766328303,1967.46185997863,0.166483267564907,2621.70240925282,1.00621702467229,0.991265906280537
"1998Q3",80.9996050892871,0.0393662249090397,0.632496468356886,9260.1049819156,5233.36794378294,2002.16671421843,0.167373399498387,2632.58806621833,1.00559411139845,0.9920781759002
"1998Q4",81.3458736335617,0.0362329203354882,0.634812543197314,9280.6272238615,5278.79938277166,2020.44831838373,0.16778528397555,2640.92090993747,1.00373026897037,0.988988503894481
"1999Q1",81.376,0.030886,0.637458117141045,9356.55730565489,5310.4816208593,2057.58699647404,0.168336227647745,2649.27714884723,1.00270349980338,0.988510125835627
"1999Q2",81.503,0.026349,0.639734472441857,9400.78962680807,5351.127873475,2085.94729107517,0.168819036335996,2674.99521551476,1.00222077714931,0.990307105259929
"1999Q3",81.645,0.026994,0.643053396517532,9510.0332523252,5401.15533690837,2120.07018835107,0.170664032430484,2671.84389964336,1.00476452936493,0.992259170800417
"1999Q4",81.939,0.034306,0.645591719382821,9611.58181394945,5433.48642429367,2137.95607763875,0.171284502588706,2686.57955802202,1.00400297782497,0.993202260217967
"2000Q1",82.251,0.035486,0.649731146439311,9723.1178064304,5484.8919625507,2172.21016850253,0.1721873753411,2702.00623722336,1.01110016899491,0.996583628162576
"2000Q2",82.496,0.042848,0.653203802299136,9803.84772641671,5518.34025238787,2191.21949700086,0.172946195493447,2710.49122355065,1.01537044220326,0.99922420480993
"2000Q3",82.898,0.047388,0.656204039967559,9857.2928253404,5533.73882991586,2215.75186383717,0.173806689698742,2718.14897276906,1.0161885690849,1.00220753214794
"2000Q4",83.35,0.050282,0.658626310074738,9913.79099166212,5536.71202364607,2217.22630117061,0.1742095397351,2725.96222266375,1.01722855428914,1.00411517696461
"2001Q1",84.018,0.047447,0.659565793011629,10002.9766834182,5596.8418525971,2233.17547233949,0.173933239014967,2729.93163036093,1.01065247923064,0.999738151348521
"2001Q2",84.418,0.045885,0.659873288916144,10008.2510044264,5601.14878113946,2226.75561800129,0.175160296659181,2720.08741327584,1.00908574000806,1.00437110568836
"2001Q3",85.016,0.042779,0.660807016769539,10015.7764874678,5609.80168451275,2209.55976940925,0.175509921833345,2718.89142610358,1.00645760797967,1.00169379881434
"2001Q4",85.709,0.034522,0.661617990332173,10010.8819677945,5619.8307302479,2200.32385087857,0.175462722377768,2720.755584967,1.00018667817849,0.996278103816402
"2002Q1",86.31,0.033615,0.663099572000898,10017.53028516,5612.37037108073,2193.69331353629,0.175944559932875,2716.72658406176,0.997566909975669,0.99518016452323
"2002Q2",86.504,0.034461,0.66339559003282,10062.3448459413,5608.11208427519,2167.26482611951,0.176622931659306,2718.86371528789,1.00196522704152,0.997410524368815
"2002Q3",87.153,0.033589,0.663780046688447,10095.8462965663,5636.91943454448,2175.21302861321,0.176674657015969,2716.90908549024,0.995008777666862,0.993643362821704
"2002Q4",87.518,0.031162,0.663402494281081,10103.9549347693,5665.54195083923,2186.70661854347,0.177272019216317,2713.87514556934,0.995886560478987,0.994526840192875
