"period","defgdp","gdp_rpc","conso_rpc","inves_rpc","wage_rph","hours_pc","pinves_defl","loans_nfc_rpc","loans_hh_rpc","houseprice_defl","networth_rpc","re","slope","creditspread"
"1985Q3",51.0832513716011,7152.492894435,4035.73992938815,1446.80185544396,0.138659830784059,271.800618910909,1.1104322002311,184.89704417144,105.841043112528,0.595728101678781,NA,0.0934669878032464,0.0126854382375138,0.0189763613848394
"1985Q4",51.823783213184,7182.77714579955,4058.48603294957,1461.50935051522,0.138976238227299,271.544603740319,1.11065042686518,187.979401619182,108.269827766002,0.591852494541409,NA,0.08627874483652,0.0161068429205864,0.0206903619729792
"1986Q1",52.7776282907508,7146.38198249616,4065.68511831235,1444.91565426886,0.138600237454938,271.355282165842,1.095982583773,184.093128512812,106.39854427342,0.586096368700956,NA,0.0874852127456905,0.00968650926854968,0.0230226714588933
"1986Q2",53.4984422016728,7265.71711928342,4132.49023137514,1480.78638559402,0.138985261713972,271.228161804124,1.09182761864176,183.793403284575,107.493726111916,0.585522942984816,NA,0.0802830292365816,0.00526585899011936,0.0211529300692828
"1986Q3",54.0805955432202,7291.26734487443,4156.34195458021,1499.66178463555,0.139513095181841,271.158707050266,1.08438777153817,182.125620017053,107.739061396287,0.588885863704754,NA,0.0775325359648059,0.00608139392909818,0.018695879271058
"1986Q4",54.5431392654763,7298.30733520271,4181.65189099111,1510.68276816376,0.139918386747917,271.327937033253,1.08571958075014,184.203728881854,109.587002950506,0.595880323652206,0.00875797172382373,0.0787468454353165,0.0055563962636842,0.0172469853956211
"1987Q1",54.9779834458962,7252.66516798384,4182.91393047943,1483.65450357445,0.140131673540174,271.542346347194,1.08675855160617,184.853691565785,109.438744492763,0.605442588369947,0.00841366439170726,0.0810526133353428,0.00323345526643511,0.0182978154236253
"1987Q2",55.4920426862513,7364.38897204465,4249.20753508239,1530.85314478469,0.141405580373536,271.794602852007,1.08630116773166,185.799349770366,110.5477688212,0.614102944064142,0.00844953142596726,0.0842573159516382,0.0021951398597632,0.0168816995195127
"1987Q3",55.8819483001896,7433.20570407696,4279.85348288847,1564.18649338571,0.142312053402517,272.077413307662,1.08558637233012,185.364837422769,111.648947185653,0.624110698346662,0.0087882015987652,0.0849014051192974,0.00934340822968748,0.0162387425854342
"1987Q4",56.5482442803271,7517.84245062228,4327.89843969351,1585.65288439271,0.142623892361074,272.606136180462,1.08723034585245,187.371441717999,113.823026755155,0.631004592417608,0.00680010431113866,0.0842591686806905,0.0113910925369539,0.0146396762038054
