"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop"
1977-10-01,1260302.46861581,25.9697987141744,725701.506115142,25.8521708843775,288857.572652287,28.7268560790074,181463.521219684,9.12975808514665,123188.557623962,58571532.5178738,190646.99834124
1978-01-01,1268406.59403967,26.5857125046868,727924.109035884,26.2918005467086,289771.22500456,29.4042834532563,187522.137898314,8.05699420426259,123368.902803277,58427607.0254684,191064.299632704
1978-04-01,1282879.07752982,27.2278470941677,735906.152847706,26.8539172311603,292892.966632526,29.9117246727485,192427.426234195,7.90926650553357,123472.999459197,58286300.3278723,191490.967303865
1978-07-01,1288887.3684977,27.8406272299109,741406.389013859,27.467810912116,293302.118814082,30.7035415118974,198376.725068416,9.17201736034565,123643.904066648,58148586.2162351,191926.789079326
1978-10-01,1304236.82455363,28.403985335728,749755.974962052,28.0215976070499,295935.172965633,31.5835289574288,204218.822037943,9.13666125809649,123856.10543613,58170543.3513156,192371.465310738
1979-01-01,1310898.25661392,29.0362347653124,754944.26560528,28.655159134408,291594.102324722,32.2982056164183,211103.727014012,7.69693760621268,124141.012643309,58195686.2972127,192824.603897681
1979-04-01,1331898.56083159,29.733069685918,769311.076663744,29.3672010559244,303072.664019129,33.16725904891,217127.334108581,9.35036117791605,124541.788255181,58222634.4876347,193285.716702953
1979-07-01,1338692.97065972,30.5983114326441,766443.046949285,30.2717902116748,305002.98960264,34.2415680947336,226305.265875565,11.0219555251731,125021.280469066,58250007.3562896,193754.217758081
1979-10-01,1351408.178512,31.4198557198848,774258.62607139,31.198423123064,309793.019823126,35.336793037099,234413.558079073,12.6935488724414,125362.229002646,58280476.1553445,194229.423614845
1980-01-01,1364163.00634435,32.3409358958516,781304.111211231,32.1793131728436,313087.347479916,36.8897658227816,243116.028972992,12.7349629021971,125466.148982059,58308546.9969574,194710.555819944
1980-04-01,1357757.49145206,33.1998003235553,776525.638844396,33.0737610106419,307830.013282551,38.0616627767851,249246.811097515,13.2369406426274,125709.610667202,58332777.8117454,195196.745550829
1980-07-01,1356983.50328031,33.9844340441042,782149.288535125,33.9419513009855,306637.846235777,39.0545658525984,255923.663082567,12.2388908649945,125776.054446782,58351726.5303252,195687.040510106
1980-10-01,1357620.9176537,34.7104037841279,781719.29563302,34.9011818671792,303936.366001651,39.9561416391187,262771.428470729,12.6631560840749,125757.651297079,58208385.9976083,196180.414232403
1981-01-01,1358930.85587747,35.5076214356969,781163.372566714,35.8245680765065,300928.852836201,41.1348286554118,268379.54092636,13.4327301679493,125696.952186675,58059240.5730399,196675.777456031
1981-04-01,1363001.60268167,36.5778512391509,780257.415204305,36.9390311987434,300521.717665087,42.4151574344494,278196.099266515,15.5076999514754,125429.360809512,57905209.5303601,197171.991258134
1981-07-01,1366762.1039063,37.6270730007229,782871.153572486,38.0106860632706,298408.331679379,43.4425400282262,287220.231984221,16.1332327689404,125227.926226479,57747212.1433083,197667.881691238
1981-10-01,1369969.1376062,38.6686579500757,786857.261028564,39.2189059198737,291691.016623805,44.4816896891665,295568.630079502,15.4261347526855,125054.548715042,57540031.0917997,198162.255690205
1982-01-01,1375630.99691988,39.5900129189633,790156.965025894,39.9767763278787,291844.589822201,45.5339864444665,302032.775212569,14.3311571369592,124967.719031956,57331422.5568916,198653.917821297
1982-04-01,1377481.24532093,40.6957770166139,787806.584090179,41.050689210395,291602.941113311,46.5623946818465,308995.331685401,14.3998784079679,124797.045380768,57123006.1258166,199141.687457078
1982-07-01,1370134.06013376,41.5771070733974,783487.524096994,42.0581968146875,288763.641039571,47.4487108908816,315209.785944694,13.3493863482693,124461.591152425,56916401.3858075,199624.415962291
1982-10-01,1370721.86328806,42.4702244540636,788873.161685227,43.0458939585056,286589.388953617,48.2635029679511,321805.188457939,12.6064745549399,124274.186188943,56787164.5269591,200101.003466658
1983-01-01,1379848.32628551,43.3721354389843,793367.378579736,43.7986396454318,288911.270213235,48.9555318464088,326913.467489574,11.8863273092251,123998.073928819,56661856.2401148,200570.414956362
1983-04-01,1388877.15172665,44.1847372629835,793343.408852581,44.7074578540008,289114.203828318,49.8688791219913,334410.820583978,11.8474109592296,123879.394708291,56540973.8189805,201031.695385557
1983-07-01,1392485.4161148,45.1702034512358,791934.354874372,45.7399997600605,289952.088637588,50.9759234836419,343416.584846824,12.2185118334083,123756.231702886,56425014.557262,201483.983468647
